Rk,Team,Conf,W-L,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEM,OppO,OppD,AdjEM
221,UNC Asheville,BSth,16-14,-4.14,101.8,105.9,66.8,-0.029,-5.6,100.7,106.4,-0.18
222,George Washington,A10,17-Dec,-4.16,99.7,103.8,68.9,0.049,0.92,103.6,102.7,-3.4
223,Fairfield,MAAC,14-17,-4.24,100.7,104.9,64.2,-0.069,-4.24,101.1,105.4,-6.79
224,Kennesaw St.,ASun,13-18,-4.27,105.3,109.6,66.5,-0.116,-1.6,103.2,104.8,6.71
225,San Diego,WCC,15-16,-4.47,97.2,101.7,65.9,0.09,1.94,104.4,102.4,-2.34
226,Rice,CUSA,15-15,-4.53,106.7,111.2,68,0.018,-2.45,101.8,104.2,-6.65
227,Indiana St.,MVC,20-Nov,-4.54,99.1,103.6,69.5,-0.066,3.22,105.5,102.3,0.27
228,Harvard,Ivy,13-13,-4.89,98.3,103.2,67.4,-0.045,-3.86,102,105.9,-4.63
229,Howard,MEAC,16-12,-4.98,102,107,70.8,-0.042,-7.93,97.3,105.2,-2.16
230,Detroit Mercy,Horz,14-15,-5.02,106.1,111.1,65,-0.015,-4.2,101.5,105.7,4.6
231,La Salle,A10,18-Oct,-5.07,100.1,105.2,67.6,-0.019,-0.02,103.9,103.9,-9.96
232,James Madison,CAA,15-14,-5.13,103,108.2,69.2,0.076,-0.96,103.5,104.5,0.6
233,Oregon St.,P12,27-Mar,-5.19,106,111.2,66.8,-0.111,8.54,107.4,98.9,1.97
234,Purdue Fort Wayne,Horz,21-11,-5.19,99.2,104.4,68.6,0.072,-8.38,100.4,108.8,-6.89
235,LIU,NEC,16-14,-5.55,100.2,105.8,72.6,0.033,-6.47,99.8,106.2,7.6
236,Western Illinois,Sum,16-15,-5.57,101.9,107.5,70.8,-0.02,-5.45,103.7,109.1,-5.14
237,Rider,MAAC,13-18,-5.73,98.3,104.1,67.5,-0.018,-3.57,101.2,104.8,-4.49
238,Montana,BSky,18-13,-5.96,101.3,107.3,65.8,0.033,-7.09,101.6,108.7,-5.72
239,Southeast Missouri St.,OVC,14-18,-5.98,105,111,72.1,-0.036,-3.62,100.8,104.4,-2.91
240,The Citadel,SC,13-18,-6.04,101.9,107.9,70.8,0.011,-0.23,105.2,105.5,-5.14
241,UMBC,AE,17-13,-6.14,105,111.1,68.7,0.031,-7.26,100.3,107.6,-2.45
242,Marshall,CUSA,20-Nov,-6.15,102.1,108.2,72.7,-0.015,0.59,104.3,103.7,-0.3
243,Siena,MAAC,15-13,-6.35,98.3,104.6,66.5,0.125,-3.34,101.4,104.7,-4.46
244,High Point,BSth,14-18,-6.41,99,105.4,66.8,-0.025,-3.67,101.3,105,4.26
245,New Hampshire,AE,15-13,-6.54,103.5,110,62.5,-0.022,-8.09,99.5,107.5,-2.83
